City,Longitude,Lattitude,Name
Frankfurt am Main,8.68417,50.11552,Germany
Heidelberg,8.71666,49.41666,Germany
Koblenz,7.59777,50.35972,Germany
Cochem,7.166667,50.146944,Germany
Rothenburg ob der Tauber,10.183333,49.383333,Germany
Bamberg,10.886944,49.891389,Germany
Leipzig,12.37129,51.33962,Germany
Wernigerode,10.785278,51.835,Germany
Quedlinburg,11.147222,51.791667,Germany
Goslar,10.43,51.90722,Germany
Zutphen,6.195,52.14,Netherlands
Bremen,8.80777,53.07516,Germany
Hamburg,10.01534,53.57532,Germany
Berlin,13.41053,52.52437,Germany
Dresden,13.44,51.03,Germany
Meissen,13.48333,51.16666,Germany
Görlitz,14.98722,51.15277,Germany
Bautzen,14.42416,51.18138,Germany
Prague,14.42076,50.08804,Czech Republic
Bergamo,9.67,45.695,Italy
Lecco,9.4,45.85,Italy
Mantua,10.791667,45.156389,Italy
Venezia,12.335833,45.4375,Italy
Milano,9.19,45.466944,Italy
Sevilla,-5.97317,37.38283,Spain
Malaga,-4.42034,36.72016,Spain
Cádiz,-6.2975,36.535,Spain
Faro,-7.935,37.016111,Portugal
Sagres,-8.939,37.01,Portugal
Lagos,-8.672778,37.102778,Portugal
Lisboa,-9.13333,38.71667,Portugal
Sintra,-9.388333,38.799167,Portugal
São Miguel,-25.495,37.778611,Portugal
Flores,-31.199167,39.443611,Portugal
Faial,-28.704722,38.5825,Portugal
Lisboa,-9.13333,38.71667,Portugal
